"cluster","reference","year","main_idea","relevance_to_adaptive_alpha_lab","gap_or_caution","source_url"
"contrastive_time_series","TS2Vec: Towards Universal Representation of Time Series","2021","Learns general-purpose time-series representations using hierarchical contrastive objectives over augmented temporal contexts.","Supports the idea that unlabeled financial windows can be embedded before downstream tasks.","Generic time-series benchmarks do not prove financial regime or alpha usefulness.","https://arxiv.org/abs/2106.10466"
"contrastive_time_series","Unsupervised Representation Learning for Time Series with Temporal Neighborhood Coding","2021","Uses temporal neighborhoods and local stationarity assumptions to define positive samples for representation learning.","Directly relevant to the project's original adjacent-window contrastive setup.","Local smoothness can be fragile near market regime boundaries.","https://arxiv.org/abs/2106.00750"
"contrastive_time_series","CoST: Contrastive Learning of Disentangled Seasonal-Trend Representations for Time Series Forecasting","2022","Learns disentangled trend and seasonal representations using time-domain and frequency-domain contrastive losses.","Motivates the future time-frequency augmentation/ablation path after HMM-guided learning.","Forecasting-focused results do not automatically transfer to alpha/regime conditioning.","https://arxiv.org/abs/2202.01575"
"contrastive_time_series","Time-Series Representation Learning via Temporal and Contextual Contrasting","2021","Combines temporal and contextual contrasting to learn representations from unlabeled time series.","Provides a baseline family for contrastive time-series objectives.","Still requires careful positive/negative construction for non-stationary financial data.","https://arxiv.org/abs/2106.14112"
"contrastive_time_series","Self-Supervised Contrastive Pre-Training for Time Series via Time-Frequency Consistency","2022","Uses consistency between time-domain and frequency-domain views for self-supervised time-series pretraining.","Supports Phase 22/23 time-frequency ablations if the HMM-guided path passes the compute/statistical gate.","Frequency views add compute and may overfit noisy market microstructure.","https://arxiv.org/abs/2206.08496"
"financial_regimes","Hamilton: A New Approach to the Economic Analysis of Nonstationary Time Series and the Business Cycle","1989","Introduces Markov-switching dynamics for latent economic regimes in non-stationary time series.","Provides the classical regime-switching foundation behind HMM-style baselines.","Economic state models are not direct ground truth labels for intraday crypto regimes.","https://www.econometricsociety.org/publications/econometrica/1989/03/01/new-approach-economic-analysis-nonstationary-time-series-and"
"financial_regimes","A New Approach to Markov-Switching GARCH Models","2004","Develops Markov-switching GARCH models for regime-specific volatility dynamics.","Motivates volatility-aware regime baselines and the importance of sequential state persistence.","Volatility regimes may be useful but not sufficient for alpha prediction.","https://academic.oup.com/jfec/article-pdf/2/4/493/2673901/nbh020.pdf"
"financial_regimes","Gaussian Hidden Markov Models for market regimes","classical","Models latent discrete states with transition probabilities and probabilistic state assignment.","The raw-feature HMM is the main classical benchmark and weak-supervision source for Phase 18.","HMM states are proxies and depend on features, state count, and distribution assumptions.","https://hmmlearn.readthedocs.io/en/latest/"
"financial_ml_validation","Advances in Financial Machine Learning","2018","Formalizes triple-barrier labels, purging, embargoing, backtest overfitting awareness, and financial ML evaluation discipline.","Provides the validation philosophy behind target labeling, embargoed walk-forward folds, and claim discipline.","The book is methodology guidance, not evidence that any particular alpha works.","https://www.wiley.com/en-us/Advances+in+Financial+Machine+Learning-p-9781119482086"
"financial_ml_validation","Diebold-Mariano predictive accuracy testing","1995","Tests whether two forecasts have significantly different expected loss.","Motivates the Phase 15 DM-style forecast-loss comparison on multiclass negative log-likelihood.","Row-level dependence requires careful interpretation and Newey-West-style correction.","https://www.sas.upenn.edu/~fdiebold/papers/paper68/pa.dm.pdf"
"financial_ml_validation","Probabilistic Sharpe Ratio and multiple-testing-aware backtest interpretation","2018","Evaluates whether observed Sharpe is likely above a benchmark after accounting for uncertainty.","Supports Phase 15B claim discipline and discourages overclaiming negative or unstable Sharpe results.","Depends on distributional assumptions and honest tracking of tested variants.","https://www.wiley.com/en-us/Advances+in+Financial+Machine+Learning-p-9781119482086"
"regime_conditioned_alpha","Regime-conditioned alpha modeling","applied","Trains or weights predictors differently by market state to account for non-stationarity.","This is the downstream benchmark: global LightGBM versus one model per regime under equal folds and costs.","Better regimes do not automatically mean better calibrated probabilities or profitable returns.","reports/adaptive_alpha_lab_report.md"
"project_contribution","Adaptive Alpha Lab HMM-guided contrastive encoder","2026","Uses HMM states as weak supervision for same-state distant positives and boundary-aware hard negatives.","This is the project's empirical bridge between classical sequential models and learned time-series embeddings.","Structural alignment is promising after Phase 18, but downstream alpha improvement remains unproven until Phase 20/21.","src/guided_encoder.py"
