design_rank,symbol,base_asset,universe_group,notes,bars,earliest,latest,median_quote_volume,median_range_proxy,gap_count,max_gap_hours,is_stable_or_synthetic,has_local_history,coverage_pass,gap_pass,liquidity_pass,eligible,selection_status
1,BTCUSDT,BTC,large_cap_reference,Existing pilot asset; highest-liquidity crypto benchmark anchor.,18707,2024-04-26 16:30:00+05:30,2026-06-15 02:30:00+05:30,55796023.3350704,0.0052542178077042605,0,1.0,False,True,True,True,True,True,eligible
2,ETHUSDT,ETH,large_cap_reference,Existing pilot asset; second benchmark anchor.,18707,2024-04-26 16:30:00+05:30,2026-06-15 02:30:00+05:30,36963894.60091,0.007843137254901955,0,1.0,False,True,True,True,True,True,eligible
3,BNBUSDT,BNB,large_cap_layer1,Large-cap exchange ecosystem asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,4966237.95538,0.006082493822467298,0,1.0,False,True,True,True,True,True,eligible
4,SOLUSDT,SOL,large_cap_layer1,High-liquidity layer-1 asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,16744130.178665001,0.009931773812825475,0,1.0,False,True,True,True,True,True,eligible
5,XRPUSDT,XRP,large_cap_payment,High-liquidity payments asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,9011512.124035,0.008791019684062384,0,1.0,False,True,True,True,True,True,eligible
6,DOGEUSDT,DOGE,large_cap_meme,High-liquidity meme asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,5221339.91518,0.010705885568761238,0,1.0,False,True,True,True,True,True,eligible
7,ADAUSDT,ADA,large_cap_layer1,High-liquidity layer-1 asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,2102172.05349,0.010636754823308732,0,1.0,False,True,True,True,True,True,eligible
8,TRXUSDT,TRX,large_cap_layer1,High-liquidity layer-1 asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,2408991.47272,0.0036323502710396693,0,1.0,False,True,True,True,True,True,eligible
9,LINKUSDT,LINK,large_cap_oracle,High-liquidity oracle asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,1488304.839,0.011017498379779646,0,1.0,False,True,True,True,True,True,eligible
10,AVAXUSDT,AVAX,large_cap_layer1,High-liquidity layer-1 asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,1554435.0470500002,0.010949178818431268,0,1.0,False,True,True,True,True,True,eligible
11,TONUSDT,TON,large_cap_layer1,Large-cap layer-1 asset subject to exchange availability.,16212,2024-08-08 15:30:00+05:30,2026-06-15 02:30:00+05:30,656978.204875,0.009233481164106584,0,1.0,False,True,True,True,True,True,eligible
12,SHIBUSDT,SHIB,large_cap_meme,High-liquidity meme asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,664972.7420899749,0.010362694300518099,0,1.0,False,True,True,True,True,True,eligible
13,DOTUSDT,DOT,large_cap_layer1,High-liquidity layer-1 asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,640199.309645,0.01050788091068305,0,1.0,False,True,True,True,True,True,eligible
14,BCHUSDT,BCH,large_cap_legacy,High-liquidity legacy crypto asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,582012.65835,0.00888494002665482,0,1.0,False,True,True,True,True,True,eligible
15,LTCUSDT,LTC,large_cap_legacy,High-liquidity legacy crypto asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,1203087.498675,0.008890053719793945,0,1.0,False,True,True,True,True,True,eligible
16,NEARUSDT,NEAR,large_cap_layer1,High-liquidity layer-1 asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,1175673.88055,0.013119957597740269,0,1.0,False,True,True,True,True,True,eligible
