ablation_family,comparison,evidence_type,candidate,reference,metric_win_rate,phase25_decision,paper_claim,paper_status,ic_mean_difference,ic_p_value,ic_bh_q_all_paper_tests,ic_holm_p_all_paper_tests,candidate_better_metrics,tested_metrics,allowed_paper_language
assignment_layer,guided_hmm_alpha_vs_guided_gmm_alpha,downstream_alpha,regime_lgbm_hmm_guided_hmm,regime_lgbm_hmm_guided_gmm,1.0,supported,Sequential HMM assignment improves the HMM-guided learned-regime alpha path.,raw_suggestive,0.015502555562354525,0.07549129809482456,0.2696117789100877,1.0,4.0,4.0,guided_hmm_alpha_vs_guided_gmm_alpha is suggestive before correction and should be framed as exploratory.
assignment_layer,guided_hmm_assignment_vs_guided_gmm_assignment,structural,hmm_guided_hmm,hmm_guided_gmm,1.0,supported,Tests whether sequential HMM assignment improves the HMM-guided embedding path over GMM assignment.,mechanism_supported_no_fold_p_value,,,,,,,"guided_hmm_assignment_vs_guided_gmm_assignment is supported as a structural mechanism result, but it is not a fold-level alpha significance claim."
assignment_layer,time_frequency_hmm_assignment_vs_time_frequency_gmm_assignment,structural,tf_hmm_guided_hmm,tf_hmm_guided_gmm,1.0,supported,Tests whether HMM assignment remains preferable on the time-frequency guided prototype.,mechanism_supported_no_fold_p_value,,,,,,,"time_frequency_hmm_assignment_vs_time_frequency_gmm_assignment is supported as a structural mechanism result, but it is not a fold-level alpha significance claim."
assignment_layer,vanilla_hmm_alpha_vs_vanilla_gmm_alpha,downstream_alpha,regime_lgbm_contrastive_hmm,regime_lgbm_contrastive,1.0,supported,Sequential HMM assignment is also useful on the original vanilla contrastive embedding path.,directionally_supported,0.00844616397966831,0.4423812462489895,0.6475344739323367,1.0,4.0,4.0,vanilla_hmm_alpha_vs_vanilla_gmm_alpha improves all focused point-estimate metrics but lacks statistical significance.
assignment_layer,vanilla_hmm_assignment_vs_vanilla_gmm_assignment,structural,contrastive_hmm,contrastive,0.3333333333333333,not_supported,Tests whether sequential HMM assignment improves the vanilla contrastive regime path over GMM assignment.,not_supported,,,,,,,vanilla_hmm_assignment_vs_vanilla_gmm_assignment is not supported by the current structural ablation metrics.
augmentation_view,time_frequency_guided_gmm_vs_time_only_guided_gmm,structural,tf_hmm_guided_gmm,hmm_guided_gmm,0.3333333333333333,do_not_expand_yet,Tests whether the current 3-epoch time-frequency view improves the guided-GMM structural result over the full time-only guided run.,do_not_expand_yet,,,,,,,time_frequency_guided_gmm_vs_time_only_guided_gmm is not strong enough to justify downstream expansion yet.
augmentation_view,time_frequency_guided_hmm_vs_time_only_guided_hmm,structural,tf_hmm_guided_hmm,hmm_guided_hmm,0.3333333333333333,do_not_expand_yet,Tests whether the current 3-epoch time-frequency view improves the guided-HMM structural result over the full time-only guided run.,do_not_expand_yet,,,,,,,time_frequency_guided_hmm_vs_time_only_guided_hmm is not strong enough to justify downstream expansion yet.
classical_reference,guided_hmm_alpha_vs_raw_feature_hmm_alpha,downstream_alpha,regime_lgbm_hmm_guided_hmm,regime_lgbm_hmm,1.0,directional_support_statistical_refresh_needed,HMM-guided learned regimes outperform the raw-feature HMM baseline on the primary alpha benchmark.,directionally_supported,0.0021992793595763294,0.8008046856974584,0.870439875758107,1.0,4.0,4.0,guided_hmm_alpha_vs_raw_feature_hmm_alpha improves all focused point-estimate metrics but lacks statistical significance.
objective_guidance,guided_gmm_alpha_vs_vanilla_contrastive_gmm_alpha,downstream_alpha,regime_lgbm_hmm_guided_gmm,regime_lgbm_contrastive,0.5,mixed,HMM-guided supervision improves downstream alpha when the assignment layer remains GMM-based.,mixed_directional,0.007244677096636577,0.6132249409132244,0.7665311761415305,1.0,2.0,4.0,guided_gmm_alpha_vs_vanilla_contrastive_gmm_alpha has mixed point-estimate support and should not be stated as a clear win.
objective_guidance,guided_hmm_alpha_vs_vanilla_contrastive_hmm_alpha,downstream_alpha,regime_lgbm_hmm_guided_hmm,regime_lgbm_contrastive_hmm,1.0,supported,HMM-guided supervision improves downstream alpha versus vanilla contrastive-HMM regimes.,directionally_supported,0.014301068679322796,0.2611725136038279,0.48535046273217347,1.0,4.0,4.0,guided_hmm_alpha_vs_vanilla_contrastive_hmm_alpha improves all focused point-estimate metrics but lacks statistical significance.
objective_guidance,hmm_guided_gmm_vs_vanilla_contrastive_gmm,structural,hmm_guided_gmm,contrastive,0.6666666666666666,mixed,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use GMM assignment.,mixed_structural_evidence,,,,,,,hmm_guided_gmm_vs_vanilla_contrastive_gmm has mixed structural evidence and should be described cautiously.
objective_guidance,hmm_guided_hmm_vs_vanilla_contrastive_hmm,structural,hmm_guided_hmm,contrastive_hmm,0.6666666666666666,mixed,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use HMM assignment.,mixed_structural_evidence,,,,,,,hmm_guided_hmm_vs_vanilla_contrastive_hmm has mixed structural evidence and should be described cautiously.
